Sponsor,Total Protocols,Distinct Brands
AKEBIA THERAPEUTICS INC,3,1
"AKERO THERAPEUTICS, INC",3,2
VANCOUVER GENERAL HOSPITAL,3,3
ISIS PHARMACEUTICALS INC,3,3
"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY - VANCOUVER CENTER",3,3
VBI VACCINES,3,2
AKROS PHARMA INC,3,3
JANSSEN R&D IRELAND,3,3
"VIRIDIAN THERAPEUTICS, INC.",3,1
BEAT CHILDHOOD CANCER,3,3
VTV THERAPEUTICS LLC,3,1
BEAT CHILDHOOD CANCER RESEARCH CONSORTIUM,3,3
WOMENS COLLEGE HOSPITAL,3,3
DR EVDOKIA ANAGNOSTOU,3,3
XENCOR INC.,3,3
BELLEROPHON PULSE TECHNOLOGIES LLC,3,1
ZUCARA THERAPEUTICS INC.,3,3
DR JEAN-PIERRE ROUTY,3,3
SHIRE VIROPHARMA INC,2,2
AMACATHERA INC.,2,1
PRELUDE THERAPEUTICS,2,2
"SICHUAN KELUN-BIOTECH BIOPHARMACEUTICAL CO., LTD",2,2
ANNEXON BIOSCIENCES,2,2
SIENNA BIOPHARMACEUTICALS INC,2,2
"SIERRA ONCOLOGY, INC",2,2
SIGNALCHEM LIFESCIENCES CORPORATION,2,2
GLENMARK PHARMACEUTICALS S.A,2,1
PRAXIS PRECISION MEDICINE,2,2
SLING THERAPEUTICS INC,2,2
"SOBI, INC",2,2
ERASCA INC,2,2
"VENTYX BIOSCIENCES, INC.",2,2
"AUSPEX PHARMACEUTICALS, INCORPORATED",2,1
MCMASTER CHILDRENS HOSPITAL,2,2
"EQUILLIUM, INC.",2,2
DR SOUVIK MITRA,2,2
"EPYGENIX THERAPEUTICS, INC.",2,1
DR SOHEL SOMANI,2,2
POINT BIOPHARMA,2,2
"BLUEFIN BIOMEDICINE, INC",2,1
"SPRING BANK PHARMACEUTICALS, INC",2,2
AVANIR PHARMACEUTICALS,2,1
"SPRINGWORKS THERAPEUTICS, INC.",2,2
"SPRUCE BIOSCIENCE, INC.",2,1
CRISPR THERAPEUTICS AG,2,2
PHAROS PHARMACEUTICAL ORIENTED SERVICES SINGLE MEMBER LTD.,2,2
PHARNEXT,2,1
ENDOCYTE INC,2,2
ZENAS BIOPHARMA (USA) LLC,2,2
VERSARTIS INC,2,2
"ALPINE IMMUNE SCIENCES, INC.",2,2
ENDEAVOR BIOMEDICINES,2,1
ST JOSEPHS HOSPITAL HAMILTON,2,2
BIOVERATIV USA INC,2,1
PHARMACOSMOS A/S,2,2
PETER MACCALLUM CANCER CENTRE,2,2
"PELLEPHARM, INC",2,2
ASSISTANCE PUBLIQUE - HÔPITAUX DE PARIS,2,2
CROSS CANCER INSTITUTE,2,2
PEDIATRIC TRANSPLANTATION AND CELLULAR THERAPY CONSORTIUM,2,2
"PEDAL BLOOD CANCER UNITED, LLC",2,2
STALLERGENES S.A.,2,2
ELOXX PHARMACEUTICALS INC,2,1
MALLINCKRODT ARD INC,2,1
"VERVE THERAPEUTICS, INC., A WHOLLY OWNED SUBSIDIARY OF ELI LILLY AND COMPANY",2,2
"PASSAGE BIO, INC.",2,2
MADRIGAL PHARMACEUTICALS INC,2,1
"EIKON THERAPEUTICS, INC.",2,2
OSMOTICA PHARMACEUTICAL CORPORATION,2,1
CSL BEHRING CANADA INC,2,2
"GRIN THERAPEUTICS, INC",2,1
SUCAMPO AG,2,2
OSE IMMUNOTHERAPEUTICS,2,2
ORPHAZYME A/S,2,1
GRUNENTHAL GMBH,2,2
SUMMIT (OXFORD) LIMITED,2,1
GUARD THERAPEUTICS INTERNATIONAL AB,2,2
VIACYTE INC,2,2
ORION CORPORATION,2,1
ANTHERA PHARMACEUTICALS INC,2,2
SUN PHARMACEUTICAL INDUSTRIES LIMITED,2,2
ORGANON LLC,2,2
DR DAREN HEYLAND,2,2
ORGANON CANADA INC.,2,2
SUNOVION PHARMACEUTICALS INC,2,1
AEROVATE THERAPEUTICS INC,2,1
"EDITAS MEDICINE, INC.",2,2
"VIFOR PHARMA, INC.",2,2
SUTRO BIOPHARMA,2,1
ABLYNX NV,2,2
BIOTIE THERAPIES INC,2,1
SWEDISH ORPHAN BIOVITRUM AG (SOBI AG),2,2
OPTINOSE US INC,2,1
EDGE THERAPEUTICS INC,2,1
CUBIST PHARMACEUTICALS LLC,2,2
OPTHEA LIMITED,2,2
SYNERGY PHARMACEUTICALS INC,2,1
LYCERA CORP,2,1
"EDESA BIOTECH RESEARCH, INC",2,2
AVROBIO INC,2,2
VIRACTA THERAPEUTICS INC.,2,2
ASLAN PHARMACEUTICALS PTE. LTD,2,2
HEXIRIS INC.,2,1
SYROS PHARMACEUTICALS INC,2,2
"AEROGEN PHARMA, LTD.",2,1
ONCOETHIX GMBH,2,1
"AXCELLA HEALTH, INC",2,2
CENTRE DE RECHERCHE DU CHU DE QUEBEC,2,2
OMEROS CORPORATION,2,2
